cnt,OPENDATA_ID,GNG_CS,FD_CS,BZ_NM,TLNO,MBZ_HR,SEAT_CNT,PKPL,HP,PSB_FRN,BKN_YN,INFN_FCL,BRFT_YN,DSSRT_YN,MNU,SMPL_DESC,SBW,BUS
145,439,대구광역시 중구 사일동 79,한식,동성로떡볶이(2호점),053-424-8716,10:00 ~ 22:00,40석,주변유료주차장,없음,기타 (),가능,불가능,불가능,불가능,"동성로떡볶이 4,000원 <br />해물떡볶이 4,000원 <br />치즈떡볶이 5,000원<br />",동성로 떡볶이골목에 위치한 원조집.<br />즉석 떡볶이 형태로 먹은 후 밥을 볶아 먹을 수 있습니다.,지하철 1호선 중앙로역 2번 출구 약 220m,버스 정류장은 약령시앞정류장이 가장 가깝습니다.
146,436,대구광역시 중구 남산동 586-28,한식,화림보쌈,053-255-1877,09:00 ~ 05:00,70석(룸1),7대,없음,기타 (),예약가능합니다.,불가능,가능,가능,"[저염 메뉴] 국밥 8,000원<br />보쌈 24,000원 ~ 48,000원 <br />아바이순대 13,000원 ~ 18,000원<br /><br />",돼지보쌈 골목의 초기 부터 자리를 지킨 오랜 전통의 맛집.<br />보쌈골목 모범식당 1호,지하철 1호선 명덕역 7번 출구 약 610m,버스 정류장은 남문아파트앞정류장이 가장 가깝습니다.
147,435,대구광역시 중구 남산동 586-11,한식,서울보쌈,053-252-8006,05:00 ~ 23:00,50석,4대,없음,기타 (),가능,불가능,가능,가능,"보쌈 24,000원 ~ 48,000원 <br />수육 20,000원 ~ 39,000원 <br />암뽕 22,000원<br />",서울보쌈은 이름앞에 원조라는 말이 붙어 있다.<br />아닌게 아니라 [남문시장 돼지보쌈골목]에서 가장 먼저 보쌈을 판매한 원조 가게 이다.<br />서울에서 부모님의 보쌈 식당 개성보쌈 에서 배워와 1983년 이곳에 자리를 잡았다.,지하철 1호선 명덕역 7번 출구 약 610m,버스 정류장은 남문아파트앞정류장이 가장 가깝습니다.
148,371,대구광역시 중구 동인동1가 301-1,한식,실비찜갈비,053-424-3443,10:00 ~ 22:00,150,20대,없음,영어 일본어 중국어 기타 (),가능,불가능,불가능,가능,"한우 찜갈비 30,000원 <br />미국산 찜갈비 20,000원 <br />찌개 9,000원<br />",68년부터 2대째 운영되고 있는 찜 갈비 전문점.,지하철 1호선 칠성시장역 3번 출구 약 640m,버스 정류장은 동인치안센터앞정류장이 가장 가깝습니다.
149,370,대구광역시 중구 동인동1가 332-3,한식,봉산찜갈비,053-425-4203,09:00 ~ 21:00,140석(룸1),30대,없음,영어 기타 (),가능,불가능,불가능,가능,"한우 찜갈비 30,000원 <br />호주산 찜갈비 20,000원 <br />갈비살 찌개 8,000원<br /><br />",최초 실비식당이라는 상호로 70년도에 영업을 시작한 찜 갈비 골목 내 맛집. 대를 이어 운영되고 있습니다.,"지하철 1호선 칠성시장역 3번 출구 약 588m이며, 약 10분 거리.",버스 정류장은 동인치안센터앞정류장이 가장 가깝습니다.
150,368,대구광역시 중구 동인동1가 300-1,한식,월성찜갈비,053-424-6942,09:30 ~ 23:00,72석,5대,없음,기타 (),가능,불가능,불가능,가능,"한우 찜갈비 30,000원 <br />수입육 찜갈비 20,000원 <br />갈비살 찌개 8,000원<br /><br /><br />",대를 이어 40년 넘게 운영되고 있는 찜갈비 전문점.,"지하철은 1호선 칠성시장역 3번 출구 약 644m 이며, 도보로 약 11분 거리.",버스 정류장은 동인치안센터앞 정류장이 가장 가깝습니다.
151,367,대구광역시 중구 동인동1가 298-3,한식,유진찜갈비,053-425-7184,09:30 ~ 21:00,120석,6대,없음,기타 (),가능,불가능,불가능,가능,"한우 찜갈비(200g) 30,000원 <br />호주산 찜갈비(200g) 20,000원 <br />소고기찌개 8,000원<br />",3대째 대물림 하여 운영중인 찜갈비 전문점입니다. 30년 넘는 역사를 가지고 있습니다.,"지하철 1호선 칠성시장역 3번 출구 약 614m 이며, 도보로 약 11분 거리",버스 정류장은 동인치안센터앞 정류장이 가장 가깝습니다.
152,364,대구광역시 중구 동인동1가 310-3,한식,동원찜갈비,053-427-1430,09:00 ~ 23:00,150석(룸1),10대,없음,기타 (),가능,불가능,불가능,가능,"한우 찜갈비(200g) 30,000원 <br />호주산 찜갈비(200g) 20,000원 <br />소고기찌개 8,000원<br /><br />",명물거리 동인동 찜갈비 골목에 위치한 동원찜갈비는 1960년대부터 자리 잡아 지금도 변하지 않은 맛을 유지하는 대구의 향토음식점입니다.,"지하철 1호선 칠성시장역 3번 출구 약 660m 이며, 도보로 약 11분 거리",버스 정류장은 동인치안센터앞 정류장이 가장 가깝습니다.
153,336,대구광역시 중구 남산동 298-21,한식,남문납작만두,053-257-1440,10:00 ~ 18:30,28석,없음,없음,기타 (),가능,불가능,불가능,불가능,"납작만두(소) 3,500원 <br />비빔밥 5,000원 <br />냉국수 4,000원<br />",71년도 부터 남문시장에서 자리를 잡은 남문납작만두는 48년 이상 대구를 대표하는 음식인 대구 납작만두의 원조격입니다.<br />,"지하철 1호선 반월당역 1번 출구 약 388m이며, 도보로 약 5분 거리",버스 정류장은 남문시장앞  정류장이 가장 가깝습니다.
154,318,대구광역시 중구 대신동 138,일식,미림,053-554-6636,11:30 ~ 20:00,50석(룸2),없음,없음,기타 (),가능,불가능,불가능,불가능,"돈까스 9,000원<br />어묵우동 8,000원<br />냄비우동 5,000원 <br /><br />","1962년 오픈하여 대를 이어 운영되고 있는 일식형 어묵과 돈가스를 잘하는 집이다. <br />유부잡채, 왕새우, 통오징어, 다진 고기를 넣은 양배추 롤등의 20여 가지와 천연재료로 낸 맛국물에 각종 어묵이 담겨져 나온다.",지하철 3호선 서문시장역 2번출구 약 220m,버스 정류장은 섬유회관건너1 정류장이 가장 가깝습니다.
155,271,대구광역시 중구 동인동1가 298-9,한식,산호찜갈비식당,053-422-2523,10:00 ~ 22:00,95석(룸1),4대,없음,기타 (),가능,불가능,불가능,가능,"육우 찜갈비 26,000원 <br />소고기찌개 5,000원<br />",[산호갈비찜]은 79년 부터 2대째 대를 이어 내려온 갈비찜 전문점입니다.,지하철 1호선 칠성시장역 3번 출구 약 620m,버스 정류장은 동인치안센터앞 정류장이 가장 가깝습니다.
156,264,대구광역시 중구 동인동1가 297-1,한식,낙영찜갈비,053-423-3330,10:00 ~ 21:00,136석,50대,www.nakyoung.com/,영어 일본어 기타 (),가능,불가능,불가능,가능,"한우 찜갈비(180g) 30,000원 <br />미국산 찜갈비(180g) 20,000원 <br />쇠고기찌개 8,000원<br /><br />",낙영찜갈비는 1972년 술대포집부터 시작하여 이후 대를이어 전통을 이어가는 동인동의 명가 입니다. 육질 좋은 쇠고기만을 엄선하여 독특한 양념의 맛을 느낄 수 있는 갈비찜과 갈비찜만큼이나 인기 있는 쇠고기 찌개가 주 메뉴 입니다.,지하철 1호선 칠성시장역 3 번출구 약 570m,버스 정류장은 동인치안센터앞 정류장이 가장 가깝습니다.
157,259,대구광역시 중구 동인동1가 334-1,한식,수복찜갈비,053-423-8667,10:00 ~ 21:00,54석(룸2),10대,없음,중국어 기타 (),가능,불가능,불가능,가능,"한우 찜갈비(200g) 30,000원 <br />호주산 찜갈비 (200g) 20,000원 <br />쇠고기 찌개 8,000원<br /><br />",- 당 업소는 보건복지부가족부에서 시행하는 ONCE FOOD  캠페인 참여업체로<br />남은음식 재사용 안하기 운동을 하고 있는 믿을 수 있는 업소 입니다.<br />,"지하철 1호선 칠성시장역 3번 출구 약 618m 이며, 도보로 약 11분 거리",버스 정류장은 동인치안센터앞 정류장이 가장 가깝습니다.
158,247,"대구광역시 중구 대봉동 214, 11층",일식,힛또,053-256-6868,11:00 ~ 20:00,116,대백프라자주차장,없음,영어 기타 (),가능,불가능,불가능,가능,"특초밥정식 29,000원 <br />모듬초밥 15,000원 <br />히레카츠 14,000원<br />","대백프라자 10층에 위치하고 있는 힛또는 스위스까스, 나가사끼탕면(생면)등 인기 있는 메뉴를 가지고 있으며 업주가 계속적인 연구 노력하는 업체이다.<br />",지하철 3호선 대봉교역 4번 출구 약 110m,버스 정류장은 대백프라자건너 정류장이 가장 가깝습니다.
159,235,대구광역시 중구 동인동1가 322-2,한식,벙글벙글찜갈비,053-424-6881,10:00 ~ 22:00,120석(룸2),18대,없음,영어 일본어 중국어 기타 (),가능,불가능,불가능,가능,"한우 찜갈비(180g) 30,000원 <br />미국산 찜갈비(180g) 20,000원 <br />소고기찌개 8,000원<br />",세대가 바뀌어도 변하지 않는 찜갈비 맛을 자랑하는 벙글벙글찜갈비는 화려한 맛보다 기본에 충실한 동인동찜갈비 전문점입니다.,"지하철 1호선 칠성시장역 3번 출구 약 626m 이며, 도보로 약 10분 거리",버스 정류장은 동인치안센터앞 정류장이 가장 가깝습니다.
160,232,대구광역시 중구 전동 20-1,한식,한우장식당,053-257-1125,24시간,56,주변유료주차장이용,없음,일본어 기타 (),가능,불가능,불가능,가능,"설렁탕 9,000원 <br />따로국밥 8,000원 <br />꼬리곰탕 15,000원<br />",대구에서 설렁탕을  제대로 하는 몇안되는 집이라고 자랑하는 한우장은 지난 25년동안 모든 야채와 고기를 직접 시장에 가서 고르고 사오는 정성이 있었기 때문에 지금의 한우장이 있다고 하신다.,지하철 1호선 중앙로역 4번 출구 약 210m,버스 정류장은 만경관앞 정류장이 가장 가깝습니다.
161,231,대구광역시 중구 전동 24-6,한식,대구전통따로식당,053-257-1476,24시간,50,유료주차장,없음,일본어 기타 (),가능,불가능,가능,가능,"따로선짓국 9,000원 <br />수육 40,000원 <br />설렁탕 10,000원<br />",30년 이상 이곳에서 따로국밥을 판매 해 오셨다.<br />이곳의 따로국밥은 특별히 소면을 함께 준다.<br />곰국에 넣어 먹던 소면을 따로국밥에 넣어서 먹는 건 또다른 재미를 준다.,지하철 1호선 중앙로역 4번 출구 약 230m,버스 정류장은 만경관앞 정류장이 가장 가깝습니다.
162,225,대구광역시 중구 종로1가 41-35,일식,종로초밥,053-252-0321,11:00 ~ 22:00,50석,유료주차장,없음,기타 (),가능,불가능,불가능,불가능,"광어회 50,000원 <br />모둠회 40,000원 <br />무침회 20,000원<br />",초밥과 함께 국물 맛이 산뜻하고 구수한 오뎅탕이 일품이다.편안한 분위기에서 부담없는 가격으로 즐길수 있다.,지하철 1호선 중앙로역 1번 출구 약 260m,버스 정류장은 약령시건너(동성로입구)  정류장이 가장 가깝습니다.
163,223,대구광역시 중구 남산동 921-5,일식,삼삼구이초밥,053-425-3392,12:00 ~ 23:30,70석,유료주차(1시간무료),없음,일본어 기타 (),가능,불가능,불가능,불가능,"회덮밥 9,000원 <br />미주구리 30,000원 <br />점심특선 6,000원<br />","활어회, 장어구이에 회초밥과 우동까지 저렴한 가격에 한 끼 식사를 겸한 술 한 잔 하기 딱 좋은 집이다. 곁들임 안주의 종류와 양이 푸짐하기로 유명하다.",지하철 1호선 반월당역 3번 출구 약 75m,버스 정류장은 반월당역(1번출구)1 정류장이 가장 가깝습니다.
164,219,대구광역시 중구 남일동 92,중식,중화반점,053-425-6839,11:30 ~ 20:30,136석(룸4),유료주차,없음,기타 (),가능,불가능,불가능,가능,"야끼우동 11,000원<br />야끼밥 15,000원<br />미니탕수육 19,000원 <br />새우수정딤섬 8,000원",[중화반점]은 40년 이상 전통의 야끼우동 전문점입니다. 야끼우동은 쫄깃쫄깃한 면과 다양한 채소들로 식감이 아주 좋습니다.,"지하철 1호선 중앙로역 2번 출구에서 약 130m이며, 도보로 약 2분 거리",버스 정류장은 약령시 앞 정류장이 가장 가깝습니다.
165,217,대구광역시 중구 종로2가 20,중식,영생덕,053-255-5777,11:40 ~ 21:00,40석,없음,없음,중국어 기타 (),가능,불가능,불가능,가능,"짜장면 5,000원 <br />짬뽕 6,500원<br />볶음밥 7,000원<br />",중국인이 운영하는 곳으로서 만두가 유명하다.한국적 입맛과 중국풍을 가미하여 색다른 맛을 낸다.<br />30년 넘게 중국식 만두를 찾는 손님으로 항상 붐비는 집이다.,지하철 1호선 중앙로역 1번 출구 약 260m,버스 정류장은 만경관건너 정류장이 가장 가깝습니다.
166,212,대구광역시 중구 삼덕동1가 33-14,세계요리,신짜오,0507-1339-6544,11:00 ~ 21:30,50석,유료주차장,없음,기타 (),가능,불가능,불가능,불가능,"소고기쌀국수 11,800원 <br />월남쌈 M 31,000원 <br />해물쌀국수 11,800원<br />",신짜오는 대구지역 베트남요리 1호점으로 순수 지역 브랜드로 유명하다.<br />2002년 대구에 베트남 쌀국수를 처음 소개한 업체로 현재 확장 이전한 상태이다.,지하철 2호선 반월당역 10번 출구 약 380m,버스 정류장은 삼덕성당앞 정류장이 가장 가깝습니다.
167,205,대구광역시 중구 포정동 69-1,한식,황소식당,053-421-9930,11:00 ~ 24:00,84석(룸2),주차불가,없음,영어 기타 (),가능,불가능,불가능,가능,"돌솥정식 15,000원 <br />육회비빔밥 15,000원<br />생고기 50,000원 <br />육회 50,000원<br />","토속적인 음식을 잘 조리하여 중장년층의 단골손님이 많으며, 대구10味 생고기와 돌솥밥은 황소식당의 대표 메뉴입니다.<br /><br /><br />",지하철 1호선 중앙로역 3번 출구 약 40m,버스 정류장은 경상감영공원건너 정류장이 가장 가깝습니다.
168,204,대구광역시 중구 동인동2가 108-9,한식,한옥집 동인점,053-425-8653,11:00 ~ 21:00,60석,없음,없음,영어 기타 (),불가,불가능,불가능,가능,"김치찜 9,000원<br />김치찌개 8,000원 <br />","한옥집은 김치와 사골 육수, 돼지고기의 맛이 어울어져 든든한 한끼를 제공하고 있는 김치찜 전문점입니다.",지하철 1호선 칠성시장역 3번 출구 약 750m,버스 정류장은 동인치안센터앞 정류장이 가장 가깝습니다.
169,196,대구광역시 중구 종로2가 66-6,한식,종로숯불갈비,053-252-7197,11:30 ~ 22:00,120석(룸5),9대,없음,영어 기타 (),가능,불가능,불가능,가능,"한우갈비살(120g) 25,000원 <br />한우등심(120g) 20,000원 <br />한우버섯불고기(200g) 14,000원 <br />한우육회(220g) 28,000원 <br />한우안창살(120g) 30,000원<br />돼지갈비(200g) 10,000원 <br />기타메뉴 (추가) <br />된장전골 8,000원<br />",기품있는 실내 분위기로 일본 관광객도 많이 찾는 곳이다.<br />엣 한옥의 정취를 느끼게 하고 안락한 분위기에서 잘 구워진 고기와 신선한 야채로 특별한 시간을 즐길수 있다.<br />,지하철 1호선 반월당역 15번 출구 약 300m,버스 정류장은 약령시건너 정류장이 가장 가깝습니다.
170,189,대구광역시 중구 동성로2가 54-1,한식,상주식당,053-425-5924,10:00 ~ 19:00,88석(룸4),유료주차,없음,일본어 기타 (),가능,불가능,불가능,불가능,"추어탕 11,000원",대구에서 가장 오래된 추어탕 집으로 경상도 추어탕의 정수로 영남 지방은 물론 전국의 추어탕 마니아들과 미식가들이 많이 찾는 음식점으로 유명합니다.,지하철 1호선 중앙로역 2번 출구 약 250m,버스 정류장은 CGV대구한일 앞 정류장이 가장 가깝습니다.
171,188,대구광역시 중구 동산동 120,한식,부창생갈비,053-255-0968,11:00 ~ 21:30,56석,20대,없음,영어 기타 (),가능,불가능,불가능,가능,"부창생갈비(150g) 32,000원 <br />안창살(100g) 35,000원<br /><br />",순 한우 신선육을 알맞게 숙성시킨 생갈비와 어우러진 토속적인 밑반찬이 일품인 한우 갈빗집입니다.,지하철은 3호선 서문시장역 1번 출구 도보로 약 450m,버스 정류장은 섬유회관건너2 정류장이 가장 가깝습니다.
172,187,대구광역시 중구 공평동 8-4,한식,부산안면옥,053-424-9389,11:00 ~ 20:30,176석,주변유료주차,없음,기타 (),가능,불가능,불가능,불가능,"평양냉면 11,000원 <br />비빔냉면 11,000원 <br />",49년을 이어온 대를 이은 맛집<br />시류에 영합하지 않고 재래식 방법을 그대로 고집하고 있는 업소이다.<br />동절기에는 양질의 음식원료를 구하기 힘들어 추석날 부터 다음달 3월까지 영업하지 않는다.,지하철 1호선 중앙로역 3번 출구 약 550m,버스 정류장은 2.28기념중앙공원건너2  정류장이 가장 가깝습니다.
173,182,대구광역시 중구 대안동 12,한식,마산설렁탕,053-254-4317,08:00 ~ 20:30,70,2대,없음,기타 (),가능,불가능,가능,불가능,"설렁탕 12,000원 <br />수육 40,000~50,000원<br /><br />",30년 가까운 전통을 자랑하는 업소로 푹 고은 진한 사골국물맛이 일품이다. 가마솥에 한우사골을 24시간 우려내어 고소하고 담백하다.<br /><br />,지하철 1호선 중앙로역 4번 출구 약 250m,버스 정류장은 경상감영공원건너 정류장이 가장 가깝습니다.
174,181,대구광역시 중구 계산동2가 6,한식,마당갈비,053-255-2324,11:00 ~ 21:30,56석(룸2),3대(점심시간),없음,기타 (),가능,불가능,불가능,가능,"갈비 9,000원 <br />갈비찜 10,000원<br />",1984년 오픈한 이래 갈빗대가 붙은 진짜 돼지갈비만을 꾸준히 취급해온 돼지갈비 전문점입니다.<br /><br />,지하철 3호선 달성공원역 1번 출구 약 35m,버스 정류장은 수창초등학교 정류장이 가장 가깝습니다.
175,180,대구광역시 중구 삼덕동2가 223-3,한식,마당,053-423-1352,12:00 ~ 22:00,84석,없음,없음,기타 (),가능,불가능,불가능,가능,"양념갈매기살(150g) 13,000원 <br />잔치국수 5,000원<br />",22년째 이어오는 갈매기살 전문점으로 갈매기살 한가지만 취급한다.단백하면서도 깔끔한 맛은 한번 찾은 손님은 꼭 다시 찾게 되는 업소이다.끝에 먹는 잔치국수 또한 별미이다.<br /><br />,지하철 2호선 경대병원역 4번 출구 약 370m,버스정류장은 경북대학교병원앞 정류장이 가장 가깝습니다.
176,179,대구광역시 중구 대봉동 18-8,한식,로타리식당,053-256-7983,12:00 ~ 22:00,40석(룸7),4,없음,기타 (),가능,불가능,불가능,가능,"추어탕 10,000원 <br />솔잎돼지고기 35,000원 <br />미꾸라지튀김 35,000원<br />",[로타리식당]은 옛날 추어탕을 맛볼 수 있는 업소로 할머니가 전통 추어탕 그대로 조리하여 인기를 모으는 집입니다.<br /><br />,지하철 2호선 경대병원역 3번 출구 약 340m,버스 정류장은 청구타운 건너 정류장이 가장 가깝습니다.
177,178,대구광역시 중구 계산동1가 70-5,한식,동아전복,053-255-1235,10:00 ~ 20:30 (16:00~17:00 브레이크타임),60석,3대,없음,기타 (),가능,불가능,불가능,가능,"전복죽 17,000원<br />전복회덮밥 25,000원<br />전복구이(1kg) 160,000원<br />",싱싱한 전복죽이 별미로 한번 맛본 손님은 다시 찾게 된다.,지하철 2호선 반월당역 18번 출구 약 350m,버스 정류장은 곽병원건너 정류장이 가장 가깝습니다.
178,176,대구광역시 중구 공평동 16-21,한식,대하닭갈비,053-427-3331,11:00 ~ 22:00 (16:00~17:00 브레이크타임),22석,주변유료주차,없음,영어 기타 (),가능,불가능,불가능,가능,"닭갈비 12,000원 <br />막국수 7,000원 <br />볶음밥 2,500원<br />","이곳 대표님은 춘천에서 닭갈비 관련 일을 하시다가 대구로 내려 오셨습니다.<br /> 20년 동안의 노하우를 바탕으로 언제나 신선한 재료와 소스를 사용하여 항상 최고의 맛을 내왔고, 특히 소스는 누구도 흉내낼수 없는 대하만의 자랑이라고 하시네요.",지하철 1호선 중앙로역 2번 출구 약 500m,버스 정류장은 2.28기념중앙공원앞 정류장이 가장 가깝습니다.
179,174,대구광역시 중구 동산동 180-20,한식,대동면옥,053-255-4450,11:30 ~ 20:30,100석,유료주차장,없음,기타 (),전화 요망,불가능,불가능,가능,"평양물냉면 10,000원 <br />함흥비빔냉면 10,000원 <br />한우갈비탕 15,000 <br />수육 30,000원<br />",55년 내력이 있는 집이다. 대구를 대표하는 냉면전문점으로 변함없는 사랑을 받고 있다. 처음방문하는 사람은 업소를 찾기도 어렵다. 차도 들어가지 못하는 좁은 골목이 30년 전통을 말해 주고 있다.<br />먹기 전에 나오는 뜨거운 육수의 맛이 각별하다.<br />,지하철 1호선 중앙로역 4번 출구 약 980m,버스 정류장은 섬유회관건너2 정류장이 가장 가깝습니다.
180,173,대구광역시 중구 향촌동 74-5,한식,녹양,053-257-1796,12:00 ~ 23:00,30석,주차불가,없음,기타 (),가능,불가능,불가능,불가능,"생고기 40,000 ~ 60,000원 <br />모듬스페샬 80,000원 <br />곱창전골 40,000 ~ 60,000원","[녹양]은 1973년 부터 46년 이상 영업하고 있는 오래된 음식점입니다. 생고기, 육회가 대구의 향토음식으로 자리매김하는데 노력하였다.한우 생고기만을 취급하고 있으며, 장류는 영업자가 직접 제조하여 녹양만의 비법을 자랑하고 있다.",지하철 1호선 중앙로역 4번 출구 약 110m,버스 정류장은 경상감영공원건너 정류장이 가장 가깝습니다.
181,171,대구광역시 중구 향촌동 74-7,한식,너구리,053-427-9292,10:00 ~ 22:00,60석,주차불가,없음,일본어 기타 (),가능,불가능,불가능,가능,"육회 20,000~30,000원 <br />한우뭉티기 30,000원 <br />국수 2,000원<br />",최초영업자(정재인)는 현영업자(조인수)의 장인으로 6.25전쟁 이후 60년 초부터 영업을 시작하여 현재는 사위(조인수)가 대를 이어 47년째 영업하고 있습니다. <br /><br /><br /><br />※ 위 업체는 레스토랑 평가서 블루리본 서베이에서 추천한 업체입니다.<br /><br /><br />,지하철 1호선 중앙로역 4번 출구 약 70m,버스 정류장은 경상감영공원건너 정류장이 가장 가깝습니다.
182,167,대구광역시 중구 동산동 106-1,한식,국일생갈비,053-254-5115,11:30 ~ 21:30,160석(룸9),50(국제유료주차장2시간무료이용),www.gugilgalbi.co.kr,영어 일본어 중국어 기타 (),가능,불가능,불가능,가능,"한우생갈비 30,000원 <br />한우특생갈비 43,000원<br />한우안창살 35,000원",[국일생갈비]는 40년째 1등급 한우만을 고집한 갈비 명가로 한우 생갈비 전문점입니다.,지하철 3호선 서문시장역 1번 출구 약 290m,버스 정류장은 섬유회관앞 정류장이 가장 가깝습니다.
183,166,대구광역시 중구 전동 7-1,한식,국일따로국밥,053-253-7623,24시간,150석(룸1),건물뒤유료주차장,없음,영어 기타 (),가능,불가능,가능,가능,"특따로국밥 11,000원<br />따로국밥 10,000원<br />따로국수 10,000원 <br /><br />","1946년 [국일따로국밥]의 창업자인 서동술 할아버지, 김이순 할머니가 옛날부터 전해 내려오는 쇠고기 국밥을 조리해 왔고, 대구 따로국밥의 원조 기술을 전수받아 딸(최영자)에게 대를 이어 74년째  운영하고 있습니다.",지하철 1호선 중앙로역 4번 출구 약 180m,버스 정류장은 약령시앞 정류장이 가장 가깝습니다.
184,165,대구광역시 중구 포정동 52-2,한식,교동따로식당,053-254-8923,24시간,60석,주변유료주차장,없음,기타 (),가능,불가능,가능,가능,"따로국밥 9,000원 <br />소고기국밥 9,000원 <br />선지술국 10,000원 <br />소머리수육 22,000원 <br /><br /><br />",한우사골을 엄선하여 10시간 이상 고아낸 국물을 우려낸 후 매일 매일 들어오는 신선한 야채와 선지를 함께 조리하여 한국인 특히 경상도 분들의 입맛에 맞는 대구 대표 음식이다.,지하철 1호선 중앙로역 4번 출구 약 250m,버스 정류장은 만경관앞 정류장이 가장 가깝습니다.
185,164,대구광역시 중구 삼덕동1가 21-25,한식,개정 본점,053-424-7051,10:30 ~ 21:30,130,주차장없음.주변유료주차장이용,없음,영어 기타 (),가능,불가능,불가능,가능,"물냉면/비빔냉면 12,000원 <br />전주비빔밥 12,000원 <br />전주특육회비빔밥 14,000원 <br />치즈돌솥비빔밥 15,000원<br />육회 30,000원<br />","대구에서 한식으로 명성을 떨치고 있는 개정은 전주비빔밥, 돌솥밥, 냉면등이 유명한 곳입니다. <br /><br />","지하철 1호선 중앙로역 2번 출구 약 600m이며, 도보로 약 5분 거리.",버스 정류장은 삼덕성당앞 정류장이 가장 가깝습니다.
